date_time,OpenPrice,HighPrice,LowPrice,CLosePrice,Volume,ChgVolume,OpenInterest,ChgOI,Turnover,ChgTurnover,AskVolume1,BidVolume1,TradingTime
20181121 18:35,134.3,134.3,134.3,134.3,0,0.0,0,0.0,0,0.0,0,0,2018-11-21 18:35:00
20181122 15:00,133.25,133.25,133.25,133.25,0,0.0,0,0.0,0,0.0,0,0,2018-11-22 15:00:00
20181122 18:34,133.25,133.25,133.25,133.25,0,0.0,0,0.0,0,0.0,0,0,2018-11-22 18:34:00
20181123 15:00,127.8,127.8,127.8,127.8,0,0.0,0,0.0,0,0.0,0,0,2018-11-23 15:00:00
20181123 18:34,127.8,127.8,127.8,127.8,0,0.0,0,0.0,0,0.0,0,0,2018-11-23 18:34:00
20181126 14:02,127.8,127.8,127.8,127.8,0,0.0,0,0.0,0,0.0,0,1,2018-11-26 14:02:00
20181126 14:35,127.8,127.8,127.8,127.8,0,0.0,0,0.0,0,0.0,0,0,2018-11-26 14:35:00
20181126 15:00,127.8,127.8,127.8,127.8,0,0.0,0,0.0,0,0.0,0,0,2018-11-26 15:00:00
20181127 15:00,127.85,127.85,127.85,127.85,0,0.0,0,0.0,0,0.0,0,0,2018-11-27 15:00:00
20181127 18:36,127.85,127.85,127.85,127.85,0,0.0,0,0.0,0,0.0,0,0,2018-11-27 18:36:00
20181128 15:00,129.55,129.55,129.55,129.55,0,0.0,0,0.0,0,0.0,0,0,2018-11-28 15:00:00
20181128 18:34,129.55,129.55,129.55,129.55,0,0.0,0,0.0,0,0.0,0,0,2018-11-28 18:34:00
20181129 15:00,128.45,128.45,128.45,128.45,0,0.0,0,0.0,0,0.0,0,0,2018-11-29 15:00:00
20181129 18:34,128.45,128.45,128.45,128.45,0,0.0,0,0.0,0,0.0,0,0,2018-11-29 18:34:00
